store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
2e1d3b76-a7c7-4e28-b5b1-b8976ca75b11,60.0,3.94,27.56,0.0,6.56,45.94
16ebc2c6-c798-427a-8a25-73446c9efffe,60.0,4.0,28.0,0.0,6.67,46.67
ff5a8b11-1177-4d81-a5b0-62e7285da3b2,0.0,0.0,0.0,60.0,11.39,79.75
783bb455-e60e-44f7-bae3-adc03f7bed5a,60.0,8.43,58.35,0.0,5.06,36.04
42b80028-65d7-4875-a737-1aa15c90e11a,60.0,4.31,30.19,0.0,7.19,50.31
1e04efda-f775-46f8-a5d5-2700490240a5,0.0,0.0,0.0,60.0,12.0,84.0
8484bd50-6025-412b-89c3-4c0f25b4f4a2,60.0,4.84,33.87,0.0,2.9,20.32
c62a7bfd-5d07-4cd4-a962-01a4844d20e3,60.0,4.0,28.0,0.0,6.67,46.67
af0ebfc2-fbb0-4551-ae6e-e5091f54f94a,60.0,4.0,28.0,0.0,6.67,46.67
6c8a8d23-4d7b-4bd6-944b-3409023edc20,60.0,6.64,46.48,0.0,6.64,46.48
85bc8493-eb7b-4431-be19-0e6092be02aa,0.0,0.0,0.0,60.0,11.33,79.29
a75bd378-8899-45a6-be47-dcd22d847965,60.0,4.0,28.0,0.0,6.67,46.67
4c221b72-6e88-4a82-b6cb-43635119f49e,60.0,4.12,24.75,0.0,6.88,52.25
ce384bbc-4aec-40da-b192-5d77cbee27c0,60.0,4.0,28.0,0.0,6.67,46.67
0fdc41ad-acee-4531-817f-cd37383ddb63,60.0,6.32,43.15,0.0,2.11,15.79
5d31e336-6014-447c-bd1e-bcc05563ef46,0.0,0.0,0.0,60.0,12.0,84.0
007a6957-bf78-4062-9a01-b39641f0c126,60.0,6.25,43.75,0.0,6.25,43.75
92c3bdf6-a428-453f-91cb-1671daebc1a6,60.0,4.0,28.0,0.0,6.67,46.67
4cbe33a0-dbbb-4919-923a-18f963480e8b,60.0,4.0,27.15,0.0,6.67,47.52
e95f7e52-6b54-4837-8991-31e63a9c2084,60.0,3.94,27.56,0.0,6.56,45.94
4adfbf3b-c98c-4f1e-bbe7-9538abec98c2,0.0,0.0,0.0,60.0,11.39,79.75
4f2b8d0a-79bb-4925-a83c-37b34d753b01,60.0,4.0,28.0,0.0,6.67,46.67
f462e19d-77ba-43f6-aae6-41bfaaddcbfd,60.0,5.55,38.16,0.0,5.55,39.52
a6c90d09-3860-4605-9d66-010d948bdf9f,60.0,6.32,43.15,0.0,2.11,15.79
83bdfe31-f43e-493a-a213-73d96a972c47,60.0,4.0,28.0,0.0,6.67,46.67
3b4a77fc-aaef-4f3a-86a8-c5293498aa18,0.0,0.0,0.0,60.0,12.0,84.0
e511445a-9ec3-4f26-833a-e4f3f77d232d,60.0,7.81,54.69,0.0,4.69,32.81
02d6a0db-6c3d-4226-9563-5f861681ca30,60.0,4.0,28.0,0.0,6.67,46.67
6a2ccb09-4be1-4db6-aedd-e44a39de57f8,60.0,4.0,28.0,0.0,6.67,46.67
0784b45b-19ed-4e45-b825-dde04b19783b,0.0,0.0,0.0,60.0,11.33,79.29
5cb80902-b9a9-4a3d-8c8b-52d8a3379bb4,60.0,6.25,43.75,0.0,6.25,43.75
d97e233c-f389-45d4-9560-5c0bebc6013d,60.0,6.64,46.48,0.0,6.64,46.48
9c8ff64b-e83d-42b7-a85f-e4da4ab88fdb,0.0,3.96,33.66,60.0,3.96,21.78
12cd50cb-4979-4fbf-9cfe-81ec55806ce8,60.0,4.04,28.31,0.0,6.74,47.19
78569346-b40d-45fa-88b1-37a228c592aa,0.0,0.0,0.0,60.0,12.0,84.0
e525d900-c41c-4a6d-ac3f-846425729567,60.0,5.35,37.48,0.0,5.35,37.48
68cf5d76-5ddf-488b-a561-956cfdbe2385,60.0,3.94,27.56,0.0,6.56,45.94
ec843efc-1a2a-497b-a3a2-b0e5a6b83dd6,60.0,5.62,39.38,0.0,5.62,39.38
ecc729d1-62c9-4ed0-ac09-2d9a7bea0f53,60.0,4.04,31.01,0.0,6.74,44.49
28630830-04fd-488b-8a00-c84332e2f505,0.0,0.0,0.0,60.0,11.33,79.29
bad3c0e6-ad67-40b4-aca8-ce1046b25d68,60.0,5.55,41.62,0.0,5.55,36.07
aa18d583-5a3c-4c25-a5e0-fdefe2c8a1e6,60.0,4.0,28.0,0.0,6.67,46.67
b391b52f-2f48-48f9-b33d-7683c2731b9d,60.0,5.55,38.84,0.0,5.55,38.84
a65bf621-0814-4625-9ca5-ff5888fe4434,0.0,0.0,0.0,60.0,12.64,88.47
23db1609-0f16-485e-9023-d95296c16f74,60.0,4.0,28.0,0.0,6.67,46.67
8298991f-f82b-47e8-b30c-1025a96bb57f,60.0,5.55,38.84,0.0,5.55,38.84
608f1c66-3c84-42ef-9aef-327ae8b16795,60.0,3.94,23.62,0.0,6.56,49.88
0d257b29-f267-4449-aa8e-c0e783eb841b,0.0,0.0,0.0,60.0,11.5,80.5
5871bb77-b06c-4e16-981f-5356934b520e,60.0,4.12,28.88,0.0,6.88,48.12
48223b72-7d56-4903-8261-08196263df5c,60.0,4.12,28.88,0.0,6.88,48.12
5eb365c4-a2f4-4f92-8be4-4c81cc550570,60.0,6.25,37.5,0.0,6.25,50.0
cf737fea-3cb6-43ef-9947-ee3cf14afbd9,60.0,4.04,31.01,0.0,6.74,44.49
ff2140ad-7b57-4e33-9e56-d984b9267ef5,60.0,6.25,43.75,0.0,6.25,43.75
7ca4ac3f-942f-484b-81c5-c452acdc7e0f,60.0,4.72,36.6,0.0,4.72,29.52
e0023b51-c2cc-453a-ac0b-f07491b1873f,60.0,3.94,27.56,0.0,6.56,45.94
6f4375dd-1c0e-445a-88cb-1621d2849376,60.0,6.37,44.58,0.0,2.12,14.86
e087f69f-61f6-4019-be16-66a91b4f48d4,60.0,3.94,27.56,0.0,6.56,45.94
0e71b501-c981-4268-8fbd-63cdc5d285e1,0.0,0.0,0.0,60.0,11.78,82.48
28558ff2-8599-41f9-a622-0b86487fceef,60.0,5.55,41.62,0.0,5.55,36.07
8ff3f8a4-1156-4d2b-ba64-924b608a0618,60.0,3.94,27.56,0.0,6.56,45.94
02118686-3776-481b-89f1-a5cc03884878,60.0,4.04,28.31,0.0,6.74,47.19
690daee7-3183-4751-a522-49321a7f980a,60.0,5.55,38.14,0.0,5.55,39.55
13b4c99f-e70c-43e8-95a4-ee242688c8f5,60.0,3.67,29.57,0.0,3.67,21.87
bab07197-bed9-4f19-9a13-5bc1bb7c4bbb,60.0,6.74,47.19,0.0,6.74,47.19
f684b326-7ca2-46bb-a29e-69fcdf527392,60.0,4.04,29.66,0.0,6.74,45.84
291cc3dc-6949-4b37-8b7c-06163fad8917,60.0,4.04,31.01,0.0,6.74,44.49
99a9f201-86dd-4949-abe2-b0f96f1a33bc,0.0,0.0,0.0,60.0,7.49,52.44
c3078de6-5b3a-4837-893b-036b0e870095,60.0,6.25,43.75,0.0,6.25,43.75
9dc9895f-b202-431a-a6aa-16eb8723d5d7,60.0,3.94,27.56,0.0,6.56,45.94
65f8b53c-9bb8-4124-8011-fb5f58359433,60.0,6.39,44.75,0.0,6.39,44.75
e78b052f-a63d-4ec4-b3cd-8bd91391c5fc,0.0,0.0,0.0,60.0,23.98,167.88
4ceb1e4b-a108-4159-8ea8-64fbc5d09a41,60.0,3.94,27.56,0.0,6.56,45.94
93607d22-b4dd-4343-ab66-9a2fea844f42,60.0,6.32,43.15,0.0,2.11,15.79
0b86a98a-48b1-4253-aba3-59ee8231a22e,60.0,3.94,27.56,0.0,6.56,45.94
131994eb-d652-444f-a6b6-6e3e954a1fd7,60.0,6.25,42.98,0.0,6.25,44.52
a4a7614f-5dca-4afb-ad4d-3a7540201f4e,0.0,0.0,0.0,60.0,1.0,7.0
ee5a7cd0-fde9-488a-9bf1-b0ef00f044f1,60.0,5.39,37.75,0.0,5.39,37.75
645ec50d-b371-42b4-aa16-14b654b9f650,60.0,6.5,45.5,0.0,6.5,45.5
805418a4-3f52-4cbc-89be-571708e06a03,60.0,3.94,27.56,0.0,6.56,45.94
d056756f-5b52-4dca-a4df-638266355748,0.0,0.0,0.0,60.0,10.77,75.42
997cd76a-0619-45ad-98f1-f7be34906958,60.0,8.43,58.99,0.0,5.06,35.39
4439819e-ee25-4bf3-b3b7-ec037eb0cf51,60.0,4.04,28.31,0.0,6.74,47.19
49fe4780-831d-4057-b56a-39ef544020f8,60.0,6.32,43.15,0.0,2.11,15.79
3cedaa03-37cb-42a0-a3d5-188084872732,60.0,4.04,28.31,0.0,6.74,47.19
bab4c149-1f42-4aa6-911b-1d14c00091fa,0.0,0.0,0.0,60.0,8.69,60.84
9a88f20c-79e7-4c88-aed3-883eb34d650e,60.0,4.04,28.31,0.0,6.74,47.19
45c116aa-a1cc-4933-afe7-d32c2aa7477a,60.0,4.31,30.19,0.0,7.19,50.31
d756644f-dbb4-4f45-b562-d4df3e69b920,60.0,3.94,27.56,0.0,6.56,45.94
efee00c3-fe4c-4dd2-a90f-71d18cafeb5a,60.0,5.28,39.57,0.0,5.28,34.29
825e0ea5-88ac-4441-8cf0-eda834d4a31b,0.0,0.0,0.0,60.0,8.69,60.84
53fa921b-4445-40a0-86e7-7765746ed738,0.0,0.0,0.0,60.0,7.24,50.69
b0bf2679-bc55-40aa-9375-8a340e0b6b1e,60.0,6.64,48.14,0.0,6.64,44.82
da5de28a-bac8-466d-9aba-9881842f3492,60.0,3.94,27.56,0.0,6.56,45.94
cdd819ee-875a-48da-b61e-9d32f202ae6e,60.0,3.7,25.88,0.0,6.16,43.12
92c6d43e-ac31-4718-bf39-04b36853e9c7,60.0,4.04,28.31,0.0,6.74,47.19
